거래일자,계정과목,구분,금액
2025-09-07,매출,수익,2342000
2025-09-07,매출,수익,10681000
2025-09-09,매출,수익,18446000
2025-09-10,매출원가,비용,10277000
2025-09-10,매출원가,비용,11931000
2025-09-11,매출,수익,43897000
2025-09-13,소모품비,비용,462000
2025-09-13,매출,수익,4004000
2025-09-14,매출,수익,6787000
2025-09-15,지급수수료,비용,291000
2025-09-17,소모품비,비용,669000
2025-09-18,매출,수익,16643000
2025-09-19,매출원가,비용,9343000
2025-09-19,매출,수익,19420000
2025-09-21,매출원가,비용,5830000
2025-09-23,매출,수익,18923000
2025-09-24,매출원가,비용,38875000
2025-09-25,급여,비용,42386000
2025-09-26,소모품비,비용,484000
2025-09-26,매출,수익,13002000
2025-09-28,광고선전비,비용,2715000
2025-09-29,매출원가,비용,10632000
2025-09-29,매출,수익,11172000
2025-09-30,이자비용,비용,1239000
2025-09-30,이자수익,수익,965000
2025-09-30,지급수수료,비용,1083000
2025-10-02,매출,수익,6252000
2025-10-04,매출,수익,9646000
2025-10-05,매출,수익,14273000
2025-10-05,임차료,비용,6000000
2025-10-07,지급수수료,비용,473000
2025-10-08,매출,수익,21961000
2025-10-09,매출원가,비용,8833000
2025-10-09,매출원가,비용,32073000
2025-10-10,소모품비,비용,1299000
2025-10-10,매출,수익,21202000
2025-10-10,매출,수익,18196000
2025-10-11,매출원가,비용,6708000
2025-10-11,매출원가,비용,14121000
2025-10-11,지급수수료,비용,602000
2025-10-14,지급수수료,비용,680000
2025-10-16,매출,수익,28942000
2025-10-18,광고선전비,비용,1323000
2025-10-18,매출원가,비용,6618000
2025-10-19,광고선전비,비용,1128000
2025-10-19,매출원가,비용,4635000
2025-10-19,매출원가,비용,6658000
2025-10-20,매출,수익,18564000
2025-10-21,매출,수익,5112000
2025-10-22,매출,수익,12517000
2025-10-22,광고선전비,비용,2201000
2025-10-22,매출원가,비용,3168000
2025-10-24,매출,수익,5561000
2025-10-25,급여,비용,41967000
2025-10-28,매출원가,비용,9890000
2025-10-28,광고선전비,비용,1416000
2025-10-28,소모품비,비용,797000
2025-10-31,매출,수익,15698000
2025-10-31,이자수익,수익,1272000
2025-10-31,이자비용,비용,1597000
2025-11-02,광고선전비,비용,1212000
2025-11-05,임차료,비용,6000000
2025-11-05,매출원가,비용,17012000
2025-11-06,매출,수익,14266000
2025-11-07,매출,수익,6928000
2025-11-08,광고선전비,비용,2449000
2025-11-09,소모품비,비용,505000
2025-11-10,매출원가,비용,11873000
2025-11-10,매출,수익,17019000
2025-11-12,광고선전비,비용,2070000
2025-11-13,매출원가,비용,27607000
2025-11-16,매출,수익,9821000
2025-11-18,광고선전비,비용,4997000
2025-11-19,매출,수익,10911000
2025-11-20,지급수수료,비용,947000
2025-11-20,매출원가,비용,18201000
2025-11-21,매출,수익,12833000
2025-11-21,매출원가,비용,29599000
2025-11-21,매출,수익,11977000
2025-11-22,매출,수익,6722000
2025-11-24,매출,수익,19044000
2025-11-25,매출,수익,14510000
2025-11-25,급여,비용,41417000
2025-11-26,매출원가,비용,10432000
2025-11-26,소모품비,비용,289000
2025-11-26,지급수수료,비용,1609000
2025-11-27,매출,수익,19829000
2025-11-27,매출,수익,36661000
2025-11-27,매출,수익,24287000
2025-11-30,이자비용,비용,1405000
2025-11-30,이자수익,수익,1101000
2025-11-30,매출,수익,13831000
2025-11-30,소모품비,비용,426000
2025-12-01,매출원가,비용,10358000
2025-12-04,매출,수익,29021000
2025-12-05,매출,수익,6129000
2025-12-05,임차료,비용,6000000
2025-12-06,매출원가,비용,16880000
2025-12-06,매출,수익,18589000
2025-12-06,광고선전비,비용,2879000
2025-12-07,매출원가,비용,23185000
2025-12-07,매출,수익,11364000
2025-12-08,매출,수익,17280000
2025-12-09,매출,수익,17101000
2025-12-09,매출,수익,21015000
2025-12-10,매출원가,비용,10627000
2025-12-13,매출원가,비용,14074000
2025-12-14,매출,수익,6512000
2025-12-14,소모품비,비용,695000
2025-12-14,매출,수익,20294000
2025-12-17,소모품비,비용,299000
2025-12-17,광고선전비,비용,2687000
2025-12-18,지급수수료,비용,171000
2025-12-18,매출원가,비용,11319000
2025-12-19,매출,수익,6402000
2025-12-19,광고선전비,비용,2079000
2025-12-22,매출,수익,3734000
2025-12-22,매출원가,비용,11773000
2025-12-23,소모품비,비용,389000
2025-12-23,매출,수익,15862000
2025-12-23,지급수수료,비용,1330000
2025-12-24,매출,수익,10871000
2025-12-25,급여,비용,41266000
2025-12-27,매출,수익,12003000
2025-12-30,매출원가,비용,16888000
2025-12-30,매출,수익,16548000
2025-12-31,이자비용,비용,1592000
2025-12-31,이자수익,수익,1245000
2025-12-31,매출,수익,9558000
2025-12-31,지급수수료,비용,477000
2026-01-01,매출,수익,7715000
2026-01-02,지급수수료,비용,721000
2026-01-02,광고선전비,비용,1798000
2026-01-02,매출원가,비용,21435000
2026-01-03,매출,수익,24329000
2026-01-03,광고선전비,비용,2346000
2026-01-04,매출원가,비용,16966000
2026-01-04,매출,수익,8816000
2026-01-05,임차료,비용,6480000
2026-01-09,소모품비,비용,353000
2026-01-10,매출원가,비용,3467000
2026-01-12,매출,수익,22641000
2026-01-13,매출,수익,6393000
2026-01-14,매출,수익,21315000
2026-01-14,매출,수익,8761000
2026-01-15,매출,수익,18417000
2026-01-15,광고선전비,비용,1320000
2026-01-17,지급수수료,비용,414000
2026-01-18,소모품비,비용,196000
2026-01-19,매출원가,비용,12085000
2026-01-24,지급수수료,비용,895000
2026-01-25,급여,비용,45118000
2026-01-26,매출,수익,26473000
2026-01-26,소모품비,비용,249000
2026-01-27,매출,수익,22696000
2026-01-27,매출원가,비용,22136000
2026-01-28,소모품비,비용,812000
2026-01-30,매출,수익,8468000
2026-01-30,매출원가,비용,12734000
2026-01-31,이자수익,수익,1175000
2026-01-31,이자비용,비용,1280000
2026-02-02,매출,수익,7248000
2026-02-03,매출원가,비용,9534000
2026-02-03,매출원가,비용,10309000
2026-02-04,매출,수익,7518000
2026-02-05,임차료,비용,6480000
2026-02-05,매출원가,비용,14099000
2026-02-05,매출원가,비용,18381000
2026-02-06,매출원가,비용,23977000
2026-02-07,매출,수익,11913000
2026-02-11,소모품비,비용,242000
2026-02-12,광고선전비,비용,1576000
2026-02-12,매출,수익,17720000
2026-02-14,매출,수익,8777000
2026-02-14,매출,수익,14748000
2026-02-14,매출,수익,7351000
2026-02-16,지급수수료,비용,2413000
2026-02-17,매출,수익,41259000
2026-02-17,매출,수익,13281000
2026-02-18,매출,수익,17428000
2026-02-20,광고선전비,비용,1902000
2026-02-20,소모품비,비용,634000
2026-02-20,광고선전비,비용,1927000
2026-02-21,소모품비,비용,704000
2026-02-21,매출원가,비용,15273000
2026-02-22,매출,수익,5881000
2026-02-25,급여,비용,43951000
2026-02-25,매출,수익,6408000
2026-02-26,매출,수익,12942000
2026-02-26,광고선전비,비용,1825000
2026-02-28,이자비용,비용,1024000
2026-02-28,이자수익,수익,1242000
2026-03-01,매출원가,비용,18147000
2026-03-04,매출,수익,9867000
2026-03-04,매출,수익,17095000
2026-03-05,임차료,비용,6480000
2026-03-05,매출원가,비용,9502000
2026-03-06,매출,수익,5938000
2026-03-09,소모품비,비용,533000
2026-03-12,광고선전비,비용,4776000
2026-03-13,매출,수익,8875000
2026-03-13,매출,수익,25942000
2026-03-13,매출,수익,3471000
2026-03-14,매출,수익,3592000
2026-03-14,지급수수료,비용,2758000
2026-03-15,매출,수익,21061000
2026-03-16,매출,수익,3402000
2026-03-17,매출,수익,20607000
2026-03-18,소모품비,비용,391000
2026-03-20,매출,수익,12283000
2026-03-20,매출,수익,6641000
2026-03-20,광고선전비,비용,2571000
2026-03-20,매출,수익,19832000
2026-03-21,매출원가,비용,7567000
2026-03-21,소모품비,비용,227000
2026-03-21,매출,수익,19863000
2026-03-22,매출,수익,15160000
2026-03-23,매출원가,비용,28505000
2026-03-24,매출원가,비용,6727000
2026-03-25,매출원가,비용,11096000
2026-03-25,소모품비,비용,451000
2026-03-25,급여,비용,43820000
2026-03-30,매출원가,비용,9304000
2026-03-30,매출원가,비용,17095000
2026-03-31,매출,수익,9559000
2026-03-31,이자수익,수익,1130000
2026-03-31,이자비용,비용,1414000
2026-04-01,소모품비,비용,561000
2026-04-02,매출,수익,22413000
2026-04-02,광고선전비,비용,907000
2026-04-03,매출,수익,14095000
2026-04-03,소모품비,비용,102000
2026-04-03,매출,수익,27929000
2026-04-04,매출,수익,17748000
2026-04-05,임차료,비용,6480000
2026-04-06,소모품비,비용,279000
2026-04-07,매출,수익,15655000
2026-04-08,지급수수료,비용,800000
2026-04-09,매출원가,비용,20997000
2026-04-09,매출원가,비용,9904000
2026-04-09,매출,수익,4438000
2026-04-10,광고선전비,비용,474000
2026-04-11,매출원가,비용,2921000
2026-04-11,매출원가,비용,36356000
2026-04-12,매출원가,비용,19374000
2026-04-12,매출,수익,8642000
2026-04-13,매출원가,비용,4963000
2026-04-15,매출원가,비용,4073000
2026-04-15,매출,수익,25676000
2026-04-18,소모품비,비용,85000
2026-04-20,매출,수익,24788000
2026-04-24,소모품비,비용,312000
2026-04-25,급여,비용,44127000
2026-04-25,매출원가,비용,11491000
2026-04-25,지급수수료,비용,671000
2026-04-26,매출,수익,29430000
2026-04-28,지급수수료,비용,815000
2026-04-28,광고선전비,비용,1388000
2026-04-28,매출,수익,22866000
2026-04-30,광고선전비,비용,3485000
2026-04-30,이자수익,수익,1054000
2026-04-30,이자비용,비용,1514000
2026-05-01,매출,수익,26726000
2026-05-01,매출원가,비용,12373000
2026-05-02,매출원가,비용,4845000
2026-05-03,소모품비,비용,349000
2026-05-05,매출,수익,14907000
2026-05-05,매출,수익,19543000
2026-05-05,임차료,비용,6480000
2026-05-07,광고선전비,비용,1024000
2026-05-08,매출,수익,1554000
2026-05-08,광고선전비,비용,4767000
2026-05-08,매출원가,비용,23578000
2026-05-10,매출원가,비용,14330000
2026-05-10,지급수수료,비용,3175000
2026-05-10,매출,수익,20422000
2026-05-10,매출,수익,7344000
2026-05-11,매출,수익,31651000
2026-05-13,매출,수익,3785000
2026-05-13,매출,수익,12195000
2026-05-13,매출,수익,13444000
2026-05-14,매출원가,비용,16176000
2026-05-15,매출원가,비용,17026000
2026-05-15,매출원가,비용,12766000
2026-05-16,광고선전비,비용,1558000
2026-05-17,소모품비,비용,620000
2026-05-20,광고선전비,비용,641000
2026-05-22,매출원가,비용,7408000
2026-05-23,매출원가,비용,2950000
2026-05-24,소모품비,비용,240000
2026-05-25,급여,비용,43474000
2026-05-26,매출,수익,6912000
2026-05-29,매출,수익,12731000
2026-05-30,매출,수익,27564000
2026-05-31,이자비용,비용,1337000
2026-05-31,이자수익,수익,1207000
2026-05-31,매출,수익,26397000
2026-05-31,소모품비,비용,933000
2026-06-02,매출,수익,17191000
2026-06-03,매출,수익,6150000
2026-06-05,광고선전비,비용,3491000
2026-06-05,광고선전비,비용,645000
2026-06-05,임차료,비용,6480000
2026-06-05,매출원가,비용,23973000
2026-06-06,매출,수익,9054000
2026-06-06,매출,수익,19397000
2026-06-07,매출,수익,8668000
2026-06-08,매출원가,비용,15272000
2026-06-08,광고선전비,비용,5955000
2026-06-08,매출,수익,14939000
2026-06-09,매출원가,비용,7572000
2026-06-09,매출,수익,22364000
2026-06-13,소모품비,비용,427000
2026-06-13,소모품비,비용,599000
2026-06-14,소모품비,비용,382000
2026-06-15,매출,수익,20331000
2026-06-17,매출,수익,11343000
2026-06-17,광고선전비,비용,3088000
2026-06-18,지급수수료,비용,2791000
2026-06-20,매출,수익,9810000
2026-06-20,매출,수익,6834000
2026-06-20,매출원가,비용,10911000
2026-06-21,매출,수익,11161000
2026-06-21,매출,수익,19295000
2026-06-22,매출,수익,30091000
2026-06-24,매출원가,비용,15669000
2026-06-25,급여,비용,44435000
2026-06-25,소모품비,비용,25000
2026-06-27,매출원가,비용,33764000
2026-06-30,이자수익,수익,1427000
2026-06-30,매출원가,비용,18259000
2026-06-30,매출,수익,32126000
2026-06-30,이자비용,비용,1344000
