기준일,계정과목,금액
2026-05-31,외상매입금,72204524
2026-05-31,미지급금,25059947
2026-05-31,예수금,4460383
2026-05-31,부가세예수금,12950035
2026-05-31,단기차입금,50000000
2026-05-31,미지급비용,519180
2026-05-31,장기차입금,300000000
2026-05-31,자본금,100000000
2026-05-31,자본잉여금,400000000
2026-05-31,이익잉여금,597639353
2026-06-30,보통예금,1436668695
2026-06-30,외상매출금,92114785
2026-06-30,미수금,349140
2026-06-30,선급금,1907860
2026-06-30,선급비용,454555
2026-06-30,선납세금,55691
2026-06-30,비품,30000000
2026-06-30,무형자산(개발비등),20000000
2026-06-30,임차보증금등,15000000
2026-06-30,외상매입금,73088825
2026-06-30,미지급금,27308498
2026-06-30,예수금,4401979
2026-06-30,부가세예수금,7979202
2026-06-30,단기차입금,50000000
2026-06-30,미지급비용,955649
2026-06-30,장기차입금,300000000
2026-06-30,자본금,100000000
2026-06-30,자본잉여금,400000000
2026-06-30,이익잉여금,632816573
