발주번호,발주일자,공급업체,품목카테고리,수량,단가,금액
P00087,2025-02-06,한빛물류,원부자재,16,119000,1904000
P00088,2025-02-06,대한상사,원부자재,11,101400,1115400
P00089,2025-02-07,서울전자유통,사무용품,38,98900,3758200
P00090,2025-02-07,대한상사,소모품,35,122400,4284000
P00091,2025-02-07,그린산업,설비,29,98100,2844900
P00092,2025-02-10,우리텍,사무용품,41,97800,4009800
P00093,2025-02-10,한빛물류,사무용품,4,95200,380800
P00094,2025-02-11,그린산업,원부자재,12,120200,1442400
P00095,2025-02-12,한빛물류,사무용품,25,95900,2397500
P00096,2025-02-12,서울전자유통,용역,5,81600,408000
P00097,2025-02-13,코스모기술,원부자재,12,102100,1225200
P00098,2025-02-13,그린산업,설비,38,97800,3716400
P00099,2025-02-13,대한상사,소모품,8,112800,902400
P00100,2025-02-14,코스모기술,소모품,45,112800,5076000
P00101,2025-02-14,청년기업협동조합,사무용품,47,97200,4568400
P00102,2025-02-14,청년기업협동조합,사무용품,21,107000,2247000
P00103,2025-02-14,그린산업,원부자재,31,116200,3602200
P00104,2025-02-14,대한상사,소모품,23,118700,2730100
P00105,2025-02-14,센트럴시스템즈,IT장비,38,67500,2565000
P00106,2025-02-14,서울전자유통,용역,17,76400,1298800
P00107,2025-02-17,한빛물류,사무용품,41,92100,3776100
P00108,2025-02-18,대한상사,소모품,15,107500,1612500
P00109,2025-02-18,센트럴시스템즈,IT장비,25,70700,1767500
P00110,2025-02-18,서울전자유통,사무용품,6,93900,563400
P00111,2025-02-19,한빛물류,사무용품,35,99700,3489500
P00112,2025-02-19,대한상사,원부자재,6,115000,690000
P00113,2025-02-19,코스모기술,소모품,9,120600,1085400
P00114,2025-02-19,한빛물류,원부자재,44,104200,4584800
P00115,2025-02-20,미래ENG,물류/운송,3,39800,119400
P00116,2025-02-20,우리텍,사무용품,6,102700,616200
P00117,2025-02-20,한빛물류,원부자재,41,120200,4928200
P00118,2025-02-20,코스모기술,원부자재,18,113300,2039400
P00119,2025-02-20,대한상사,원부자재,40,101200,4048000
P00120,2025-02-20,그린산업,원부자재,34,115300,3920200
P00121,2025-02-21,대한상사,소모품,3,104100,312300
P00122,2025-02-21,그린산업,설비,26,95800,2490800
P00123,2025-02-21,미래ENG,물류/운송,31,38500,1193500
P00124,2025-02-21,한빛물류,사무용품,29,97700,2833300
P00125,2025-02-24,대한상사,소모품,33,109600,3616800
P00126,2025-02-24,서울전자유통,사무용품,4,93800,375200
P00127,2025-02-24,우리텍,사무용품,32,93500,2992000
P00128,2025-02-25,대한상사,원부자재,5,119800,599000
P00129,2025-02-25,대한상사,원부자재,25,102900,2572500
P00130,2025-02-26,서울전자유통,사무용품,12,101200,1214400
P00131,2025-02-26,미래ENG,물류/운송,46,37900,1743400
P00132,2025-02-26,센트럴시스템즈,IT장비,41,63700,2611700
P00133,2025-02-26,대한상사,소모품,2,115000,230000
P00134,2025-02-27,한빛물류,원부자재,48,108500,5208000
P00135,2025-02-27,코스모기술,소모품,22,116600,2565200
P00136,2025-02-28,한빛물류,원부자재,2,121200,242400
P00137,2025-02-28,서울전자유통,사무용품,28,91400,2559200
P00138,2025-02-28,서울전자유통,사무용품,40,104800,4192000
P00139,2025-02-28,서울전자유통,사무용품,47,108600,5104200
P00140,2025-02-28,그린산업,원부자재,6,116900,701400
P00141,2025-03-03,대한상사,원부자재,32,103000,3296000
P00142,2025-03-03,대한상사,원부자재,11,110800,1218800
P00143,2025-03-03,센트럴시스템즈,설비,47,84300,3962100
P00144,2025-03-03,그린산업,설비,11,94000,1034000
P00145,2025-03-03,그린산업,설비,20,93600,1872000
P00146,2025-03-03,대한상사,소모품,48,119900,5755200
P00147,2025-03-04,그린산업,원부자재,49,105400,5164600
P00148,2025-03-04,서울전자유통,용역,10,77900,779000
P00149,2025-03-04,센트럴시스템즈,IT장비,21,69600,1461600
P00150,2025-03-04,한빛물류,원부자재,40,119300,4772000
P00151,2025-03-04,대한상사,원부자재,24,102900,2469600
P00152,2025-03-04,한빛물류,사무용품,48,97900,4699200
P00153,2025-03-05,서울전자유통,용역,29,69200,2006800
P00154,2025-03-06,미래ENG,물류/운송,41,37600,1541600
P00155,2025-03-06,대한상사,원부자재,39,108900,4247100
P00156,2025-03-06,대한상사,원부자재,5,121700,608500
P00157,2025-03-07,그린산업,원부자재,14,109400,1531600
P00158,2025-03-10,우리텍,사무용품,25,102200,2555000
P00159,2025-03-10,그린산업,원부자재,4,104000,416000
P00160,2025-03-10,센트럴시스템즈,설비,36,98400,3542400
P00161,2025-03-10,센트럴시스템즈,IT장비,48,70600,3388800
P00162,2025-03-10,센트럴시스템즈,IT장비,26,68800,1788800
P00163,2025-03-11,그린산업,원부자재,44,114600,5042400
P00164,2025-03-11,청년기업협동조합,사무용품,4,97600,390400
P00165,2025-03-11,서울전자유통,용역,45,69900,3145500
P00166,2025-03-11,대한상사,원부자재,12,118300,1419600
P00167,2025-03-11,센트럴시스템즈,설비,43,97300,4183900
P00168,2025-03-11,서울전자유통,용역,31,74600,2312600
P00169,2025-03-11,대한상사,원부자재,29,108500,3146500
P00170,2025-03-12,다우설비,소모품,45,112000,5040000
P00171,2025-03-12,대한상사,원부자재,47,114600,5386200
P00172,2025-03-12,센트럴시스템즈,설비,29,98200,2847800
P00173,2025-03-13,코스모기술,소모품,27,104200,2813400
P00174,2025-03-13,코스모기술,소모품,41,105900,4341900
P00175,2025-03-13,그린산업,원부자재,14,116300,1628200
P00176,2025-03-14,대한상사,원부자재,29,101100,2931900
P00177,2025-03-14,서울전자유통,용역,15,70200,1053000
P00178,2025-03-14,서울전자유통,사무용품,33,100000,3300000
P00179,2025-03-14,미래ENG,물류/운송,49,40000,1960000
P00180,2025-03-14,미래ENG,물류/운송,47,37300,1753100
P00181,2025-03-14,우리텍,사무용품,34,91300,3104200
P00182,2025-03-17,코스모기술,소모품,9,105700,951300
P00183,2025-03-17,센트럴시스템즈,설비,28,83600,2340800
P00184,2025-03-17,한빛물류,사무용품,26,102700,2670200
P00185,2025-03-17,코스모기술,원부자재,37,118500,4384500
P00186,2025-03-17,한빛물류,원부자재,24,117400,2817600
P00187,2025-03-18,미래ENG,물류/운송,21,39200,823200
P00188,2025-03-18,그린산업,원부자재,13,113000,1469000
P00189,2025-03-18,대한상사,소모품,23,112000,2576000
P00190,2025-03-18,미래ENG,물류/운송,13,37900,492700
P00191,2025-03-19,대한상사,원부자재,40,100900,4036000
P00192,2025-03-19,대한상사,소모품,5,105900,529500
P00193,2025-03-20,대한상사,소모품,5,119100,595500
P00194,2025-03-20,대한상사,소모품,39,119900,4676100
P00195,2025-03-20,그린산업,원부자재,9,120200,1081800
P00196,2025-03-20,미래ENG,물류/운송,39,42400,1653600
P00197,2025-03-20,서울전자유통,사무용품,1,99200,99200
P00198,2025-03-21,그린산업,원부자재,47,105800,4972600
P00199,2025-03-21,한빛물류,원부자재,5,108500,542500
P00200,2025-03-24,우리텍,사무용품,5,94600,473000
P00201,2025-03-24,대한상사,원부자재,21,111900,2349900
P00202,2025-03-24,대한상사,원부자재,33,113900,3758700
P00203,2025-03-25,다우설비,소모품,49,107400,5262600
P00204,2025-03-26,한빛물류,원부자재,22,107500,2365000
P00205,2025-03-26,코스모기술,원부자재,9,109200,982800
P00206,2025-03-26,대한상사,소모품,19,122600,2329400
P00207,2025-03-26,서울전자유통,사무용품,38,102900,3910200
P00208,2025-03-26,대한상사,소모품,14,116000,1624000
P00209,2025-03-27,한빛물류,원부자재,33,110000,3630000
P00210,2025-03-28,대한상사,원부자재,48,108900,5227200
P00211,2025-03-28,대한상사,소모품,9,124400,1119600
P00212,2025-03-31,서울전자유통,용역,26,75000,1950000
P00213,2025-03-31,대한상사,원부자재,15,106500,1597500
P00214,2025-04-01,서울전자유통,용역,47,80900,3802300
P00215,2025-04-01,우리텍,사무용품,3,106000,318000
P00216,2025-04-01,서울전자유통,용역,36,70700,2545200
P00217,2025-04-02,센트럴시스템즈,IT장비,4,72700,290800
P00218,2025-04-02,대한상사,원부자재,26,119800,3114800
P00219,2025-04-02,대한상사,소모품,38,124400,4727200
P00220,2025-04-02,코스모기술,소모품,8,111700,893600
P00221,2025-04-02,대한상사,소모품,11,103000,1133000
P00222,2025-04-02,코스모기술,소모품,37,117200,4336400
P00223,2025-04-03,코스모기술,소모품,30,108600,3258000
P00224,2025-04-03,한빛물류,원부자재,3,105400,316200
P00225,2025-04-03,대한상사,원부자재,14,102300,1432200
P00226,2025-04-03,대한상사,원부자재,2,101200,202400
P00227,2025-04-03,센트럴시스템즈,IT장비,36,66200,2383200
P00228,2025-04-07,대한상사,소모품,30,108100,3243000
P00229,2025-04-07,우리텍,사무용품,28,94700,2651600
P00230,2025-04-07,미래ENG,물류/운송,5,38300,191500
P00231,2025-04-08,그린산업,설비,14,83900,1174600
P00232,2025-04-08,대한상사,원부자재,12,119500,1434000
P00233,2025-04-08,한빛물류,사무용품,27,93100,2513700
P00234,2025-04-08,대한상사,원부자재,22,118100,2598200
P00235,2025-04-09,대한상사,소모품,47,123100,5785700
P00236,2025-04-10,다우설비,소모품,32,119000,3808000
P00237,2025-04-10,대한상사,원부자재,36,104200,3751200
P00238,2025-04-10,코스모기술,소모품,6,115800,694800
P00239,2025-04-11,코스모기술,소모품,39,107000,4173000
P00240,2025-04-14,코스모기술,원부자재,32,112500,3600000
P00241,2025-04-14,다우설비,소모품,46,102500,4715000
P00242,2025-04-15,청년기업협동조합,사무용품,9,92500,832500
P00243,2025-04-16,한빛물류,원부자재,11,105600,1161600
P00244,2025-04-17,미래ENG,물류/운송,19,36900,701100
P00245,2025-04-17,대한상사,원부자재,17,104900,1783300
P00246,2025-04-17,코스모기술,소모품,7,104000,728000
P00247,2025-04-17,서울전자유통,사무용품,12,108000,1296000
P00248,2025-04-18,그린산업,원부자재,22,120900,2659800
P00249,2025-04-18,우리텍,사무용품,7,89100,623700
P00250,2025-04-21,한빛물류,원부자재,3,107700,323100
P00251,2025-04-21,한빛물류,원부자재,2,111300,222600
P00252,2025-04-22,센트럴시스템즈,설비,4,98200,392800
P00253,2025-04-22,센트럴시스템즈,설비,13,94900,1233700
P00254,2025-04-22,대한상사,소모품,29,107600,3120400
P00255,2025-04-22,미래ENG,물류/운송,40,38100,1524000
P00256,2025-04-23,그린산업,원부자재,45,102800,4626000
P00257,2025-04-23,대한상사,원부자재,22,115500,2541000
P00258,2025-04-23,미래ENG,물류/운송,7,42500,297500
P00259,2025-04-23,대한상사,소모품,27,123700,3339900
P00260,2025-04-24,코스모기술,원부자재,15,112800,1692000
P00261,2025-04-24,한빛물류,원부자재,33,116000,3828000
P00262,2025-04-24,대한상사,소모품,28,104600,2928800
P00263,2025-04-25,미래ENG,물류/운송,32,40800,1305600
P00264,2025-04-25,그린산업,설비,32,94600,3027200
P00265,2025-04-25,다우설비,소모품,32,116300,3721600
P00266,2025-04-25,센트럴시스템즈,설비,45,93800,4221000
P00267,2025-04-25,대한상사,원부자재,37,113600,4203200
P00268,2025-04-25,그린산업,설비,35,81100,2838500
P00269,2025-04-28,서울전자유통,용역,48,75800,3638400
P00270,2025-04-28,한빛물류,원부자재,24,102900,2469600
P00271,2025-04-28,대한상사,소모품,17,114100,1939700
P00272,2025-04-29,코스모기술,소모품,29,118700,3442300
P00273,2025-04-29,대한상사,소모품,21,106500,2236500
P00274,2025-04-29,센트럴시스템즈,IT장비,29,67400,1954600
P00275,2025-04-30,서울전자유통,용역,15,69800,1047000
P00276,2025-04-30,그린산업,설비,21,93400,1961400
P00277,2025-05-01,그린산업,설비,19,84000,1596000
P00278,2025-05-01,코스모기술,소모품,26,111700,2904200
P00279,2025-05-02,코스모기술,원부자재,28,121600,3404800
P00280,2025-05-02,한빛물류,원부자재,28,105400,2951200
P00281,2025-05-02,한빛물류,원부자재,48,103600,4972800
P00282,2025-05-05,한빛물류,사무용품,17,97600,1659200
P00283,2025-05-05,그린산업,설비,39,85300,3326700
P00284,2025-05-06,대한상사,소모품,10,115500,1155000
P00285,2025-05-06,서울전자유통,사무용품,32,97300,3113600
P00286,2025-05-06,한빛물류,사무용품,14,102300,1432200
P00287,2025-05-07,한빛물류,사무용품,22,103100,2268200
P00288,2025-05-07,다우설비,소모품,34,117300,3988200
P00289,2025-05-07,대한상사,소모품,15,113700,1705500
P00290,2025-05-08,다우설비,소모품,1,109000,109000
P00291,2025-05-08,그린산업,원부자재,14,120500,1687000
P00292,2025-05-08,대한상사,원부자재,12,116100,1393200
P00293,2025-05-08,한빛물류,원부자재,18,107400,1933200
P00294,2025-05-09,한빛물류,원부자재,8,115300,922400
P00295,2025-05-12,한빛물류,원부자재,38,101200,3845600
P00296,2025-05-12,다우설비,소모품,3,106400,319200
P00297,2025-05-13,대한상사,소모품,47,115100,5409700
P00298,2025-05-13,대한상사,소모품,6,103600,621600
P00299,2025-05-14,서울전자유통,용역,41,75400,3091400
P00300,2025-05-14,미래ENG,물류/운송,31,37800,1171800
P00301,2025-05-15,그린산업,설비,47,90300,4244100
P00302,2025-05-15,센트럴시스템즈,설비,19,92500,1757500
P00303,2025-05-16,대한상사,원부자재,38,108700,4130600
P00304,2025-05-19,한빛물류,사무용품,1,90300,90300
P00305,2025-05-19,한빛물류,사무용품,37,103400,3825800
P00306,2025-05-19,다우설비,소모품,7,103400,723800
P00307,2025-05-20,대한상사,원부자재,36,105900,3812400
P00308,2025-05-20,코스모기술,원부자재,4,116200,464800
P00309,2025-05-20,코스모기술,소모품,21,112300,2358300
P00310,2025-05-21,대한상사,소모품,15,106000,1590000
P00311,2025-05-21,대한상사,소모품,43,110300,4742900
P00312,2025-05-21,한빛물류,사무용품,32,92800,2969600
P00313,2025-05-22,대한상사,소모품,48,122800,5894400
P00314,2025-05-22,코스모기술,소모품,21,109400,2297400
P00315,2025-05-22,한빛물류,원부자재,8,115600,924800
P00316,2025-05-23,미래ENG,물류/운송,24,43200,1036800
P00317,2025-05-26,서울전자유통,사무용품,30,107100,3213000
P00318,2025-05-26,한빛물류,사무용품,21,92900,1950900
P00319,2025-05-27,대한상사,원부자재,48,115200,5529600
P00320,2025-05-27,한빛물류,사무용품,13,100200,1302600
P00321,2025-05-27,우리텍,사무용품,10,106300,1063000
P00322,2025-05-27,대한상사,소모품,22,111500,2453000
P00323,2025-05-28,대한상사,소모품,19,107400,2040600
P00324,2025-05-28,대한상사,소모품,36,109600,3945600
P00325,2025-05-28,한빛물류,사무용품,29,97200,2818800
P00326,2025-05-28,서울전자유통,용역,37,74800,2767600
P00327,2025-05-28,그린산업,설비,27,97100,2621700
P00328,2025-05-29,다우설비,소모품,14,110200,1542800
P00329,2025-05-29,코스모기술,원부자재,22,113500,2497000
P00330,2025-05-30,그린산업,원부자재,11,113000,1243000
P00331,2025-06-02,그린산업,설비,39,81600,3182400
P00332,2025-06-04,한빛물류,사무용품,2,97100,194200
P00333,2025-06-04,대한상사,소모품,37,121300,4488100
P00334,2025-06-04,센트럴시스템즈,IT장비,6,74100,444600
P00335,2025-06-04,대한상사,소모품,46,105200,4839200
P00336,2025-06-04,대한상사,소모품,26,104400,2714400
P00337,2025-06-05,대한상사,소모품,19,116600,2215400
P00338,2025-06-05,대한상사,소모품,49,106100,5198900
P00339,2025-06-05,다우설비,소모품,41,104200,4272200
P00340,2025-06-05,대한상사,소모품,9,124700,1122300
P00341,2025-06-06,한빛물류,원부자재,12,121300,1455600
P00342,2025-06-06,미래ENG,물류/운송,44,38400,1689600
P00343,2025-06-06,미래ENG,물류/운송,28,40100,1122800
P00344,2025-06-09,센트럴시스템즈,IT장비,25,73900,1847500
P00345,2025-06-09,대한상사,원부자재,3,114400,343200
P00346,2025-06-09,한빛물류,사무용품,33,93900,3098700
P00347,2025-06-10,서울전자유통,사무용품,36,103300,3718800
P00348,2025-06-10,대한상사,소모품,4,117200,468800
P00349,2025-06-13,다우설비,소모품,17,102900,1749300
P00350,2025-06-13,한빛물류,원부자재,18,101900,1834200
P00351,2025-06-13,대한상사,소모품,45,119200,5364000
P00352,2025-06-13,다우설비,소모품,29,116000,3364000
P00353,2025-06-13,대한상사,원부자재,12,121200,1454400
P00354,2025-06-16,서울전자유통,용역,32,81900,2620800
P00355,2025-06-16,대한상사,원부자재,28,118900,3329200
P00356,2025-06-16,코스모기술,소모품,20,111700,2234000
P00357,2025-06-16,한빛물류,사무용품,21,104400,2192400
P00358,2025-06-16,대한상사,소모품,23,102800,2364400
P00359,2025-06-17,대한상사,소모품,28,115100,3222800
P00360,2025-06-17,서울전자유통,사무용품,46,97500,4485000
P00361,2025-06-17,대한상사,소모품,20,107400,2148000
P00362,2025-06-17,그린산업,원부자재,39,110200,4297800
P00363,2025-06-18,미래ENG,물류/운송,33,42300,1395900
P00364,2025-06-18,대한상사,원부자재,43,107700,4631100
P00365,2025-06-19,서울전자유통,사무용품,29,101000,2929000
P00366,2025-06-19,대한상사,소모품,4,112400,449600
P00367,2025-06-19,대한상사,소모품,33,117800,3887400
P00368,2025-06-19,센트럴시스템즈,IT장비,48,63600,3052800
P00369,2025-06-20,그린산업,원부자재,13,105200,1367600
P00370,2025-06-20,청년기업협동조합,사무용품,44,101500,4466000
P00371,2025-06-20,미래ENG,물류/운송,1,43100,43100
P00372,2025-06-23,미래ENG,물류/운송,29,43300,1255700
P00373,2025-06-23,한빛물류,원부자재,26,114200,2969200
P00374,2025-06-23,서울전자유통,사무용품,45,107000,4815000
P00375,2025-06-24,코스모기술,원부자재,29,104700,3036300
P00376,2025-06-24,한빛물류,원부자재,14,112700,1577800
P00377,2025-06-24,한빛물류,사무용품,16,89100,1425600
P00378,2025-06-24,대한상사,원부자재,5,113600,568000
P00379,2025-06-25,한빛물류,사무용품,35,108400,3794000
P00380,2025-06-25,한빛물류,원부자재,23,114700,2638100
P00381,2025-06-26,다우설비,소모품,1,114300,114300
P00382,2025-06-26,서울전자유통,사무용품,14,104600,1464400
P00383,2025-06-26,그린산업,설비,24,83600,2006400
P00384,2025-06-26,한빛물류,사무용품,35,103700,3629500
P00385,2025-06-27,대한상사,원부자재,28,114800,3214400
P00386,2025-06-27,한빛물류,원부자재,45,113100,5089500
P00387,2025-06-30,한빛물류,사무용품,38,92400,3511200
P00388,2025-06-30,대한상사,원부자재,22,115200,2534400
P00389,2025-07-01,대한상사,원부자재,28,111000,3108000
P00390,2025-07-02,대한상사,소모품,47,111100,5221700
P00391,2025-07-03,서울전자유통,용역,27,74900,2022300
P00392,2025-07-03,대한상사,원부자재,8,119800,958400
P00393,2025-07-03,대한상사,소모품,20,109300,2186000
P00394,2025-07-03,센트럴시스템즈,IT장비,17,63800,1084600
P00395,2025-07-03,대한상사,소모품,49,107500,5267500
P00396,2025-07-03,미래ENG,물류/운송,43,36500,1569500
P00397,2025-07-04,대한상사,원부자재,43,110100,4734300
P00398,2025-07-07,대한상사,원부자재,46,102600,4719600
P00399,2025-07-07,코스모기술,소모품,38,104500,3971000
P00400,2025-07-07,그린산업,설비,30,81100,2433000
P00401,2025-07-07,그린산업,원부자재,21,120500,2530500
P00402,2025-07-07,대한상사,원부자재,3,115300,345900
P00403,2025-07-08,다우설비,소모품,37,104200,3855400
P00404,2025-07-09,그린산업,원부자재,14,116500,1631000
P00405,2025-07-09,대한상사,원부자재,34,111100,3777400
P00406,2025-07-09,센트럴시스템즈,IT장비,21,71600,1503600
P00407,2025-07-10,센트럴시스템즈,설비,37,91000,3367000
P00408,2025-07-10,미래ENG,물류/운송,23,37600,864800
P00409,2025-07-11,한빛물류,사무용품,10,93500,935000
P00410,2025-07-11,청년기업협동조합,사무용품,27,107400,2899800
P00411,2025-07-11,대한상사,소모품,6,108500,651000
P00412,2025-07-11,그린산업,설비,3,81400,244200
P00413,2025-07-14,대한상사,원부자재,20,106500,2130000
P00414,2025-07-14,청년기업협동조합,사무용품,18,106000,1908000
P00415,2025-07-15,서울전자유통,용역,37,74600,2760200
P00416,2025-07-15,그린산업,설비,10,86000,860000
P00417,2025-07-15,한빛물류,사무용품,46,96500,4439000
P00418,2025-07-16,미래ENG,물류/운송,35,38300,1340500
P00419,2025-07-16,대한상사,원부자재,13,106500,1384500
P00420,2025-07-16,미래ENG,물류/운송,35,43100,1508500
P00421,2025-07-16,그린산업,설비,33,82100,2709300
P00422,2025-07-16,코스모기술,소모품,45,121400,5463000
P00423,2025-07-16,우리텍,사무용품,29,98000,2842000
P00424,2025-07-16,한빛물류,사무용품,25,98700,2467500
P00425,2025-07-17,서울전자유통,사무용품,15,108400,1626000
P00426,2025-07-17,그린산업,원부자재,33,113800,3755400
P00427,2025-07-18,센트럴시스템즈,IT장비,33,61500,2029500
P00428,2025-07-18,한빛물류,원부자재,17,113900,1936300
P00429,2025-07-21,한빛물류,원부자재,29,101100,2931900
P00430,2025-07-21,그린산업,원부자재,21,107200,2251200
P00431,2025-07-21,다우설비,소모품,17,105300,1790100
P00432,2025-07-22,대한상사,원부자재,33,105400,3478200
P00433,2025-07-22,한빛물류,사무용품,11,89300,982300
P00434,2025-07-22,서울전자유통,사무용품,43,102800,4420400
P00435,2025-07-22,한빛물류,원부자재,3,103900,311700
P00436,2025-07-22,코스모기술,원부자재,35,107000,3745000
P00437,2025-07-22,한빛물류,사무용품,42,103900,4363800
P00438,2025-07-22,청년기업협동조합,사무용품,41,92200,3780200
P00439,2025-07-23,대한상사,원부자재,29,119600,3468400
P00440,2025-07-23,한빛물류,원부자재,10,102500,1025000
P00441,2025-07-23,한빛물류,원부자재,48,119700,5745600
P00442,2025-07-24,대한상사,소모품,6,122400,734400
P00443,2025-07-24,대한상사,원부자재,9,118800,1069200
P00444,2025-07-25,대한상사,소모품,32,121300,3881600
P00445,2025-07-25,그린산업,원부자재,38,101600,3860800
P00446,2025-07-25,대한상사,원부자재,27,103200,2786400
P00447,2025-07-25,한빛물류,사무용품,20,100100,2002000
P00448,2025-07-28,한빛물류,사무용품,5,98000,490000
P00449,2025-07-28,대한상사,소모품,21,122300,2568300
P00450,2025-07-28,한빛물류,원부자재,43,110900,4768700
P00451,2025-07-28,다우설비,소모품,26,107900,2805400
P00452,2025-07-28,대한상사,원부자재,26,109300,2841800
P00453,2025-07-29,센트럴시스템즈,설비,15,90700,1360500
P00454,2025-07-29,그린산업,설비,13,93300,1212900
P00455,2025-07-29,대한상사,원부자재,7,105300,737100
P00456,2025-07-29,대한상사,원부자재,36,104500,3762000
P00457,2025-07-30,대한상사,소모품,6,117100,702600
P00458,2025-07-30,대한상사,원부자재,42,106400,4468800
P00459,2025-07-30,대한상사,소모품,26,111700,2904200
P00460,2025-07-30,한빛물류,사무용품,14,102800,1439200
