계약번호,계약명,계약유형,담당부서,상대방,체결일,계약금액,하드본보관여부,하드본보관위치,소프트본보유여부,손해배상상한,관할법원,비밀유지,불가항력,지식재산권귀속
L0022,센트럴시스템즈 공급계약,공급계약,경영지원팀,센트럴시스템즈,2024-11-11,242100000,Y,법무팀 캐비닛,Y,N,Y,Y,Y,해당없음
L0023,청년기업협동조합 공급계약,공급계약,구매팀,청년기업협동조합,2024-07-07,10700000,Y,지점 보관함,Y,Y,Y,Y,N,해당없음
L0024,브릿지랩 공급계약,공급계약,영업팀,브릿지랩,2024-09-14,256500000,N,분실,Y,Y,Y,N,Y,해당없음
L0025,그린산업 비밀유지계약(NDA),비밀유지계약(NDA),경영지원팀,그린산업,2026-06-08,106600000,Y,법무팀 캐비닛,Y,N,Y,Y,N,해당없음
L0026,서울전자유통 파트너십계약,파트너십계약,영업팀,서울전자유통,2026-01-28,150200000,N,분실,Y,N,Y,Y,Y,N
L0027,청년기업협동조합 라이선스계약,라이선스계약,구매팀,청년기업협동조합,2024-04-17,199300000,Y,법무팀 캐비닛,Y,Y,Y,Y,N,N
L0028,미래ENG 용역계약,용역계약,개발팀,미래ENG,2025-05-22,54900000,Y,법무팀 캐비닛,Y,Y,Y,N,Y,N
L0029,미래ENG 임대차계약,임대차계약,영업팀,미래ENG,2025-08-30,24800000,Y,법무팀 캐비닛,Y,N,Y,Y,Y,해당없음
L0030,그린산업 공급계약,공급계약,경영지원팀,그린산업,2024-12-26,156900000,Y,법무팀 캐비닛,Y,Y,Y,N,N,해당없음
L0031,센트럴시스템즈 용역계약,용역계약,경영지원팀,센트럴시스템즈,2025-12-03,154900000,Y,법무팀 캐비닛,Y,Y,Y,Y,N,N
L0032,그린산업 비밀유지계약(NDA),비밀유지계약(NDA),영업팀,그린산업,2025-04-06,251400000,Y,법무팀 캐비닛,Y,N,N,Y,N,해당없음
L0033,한빛물류 임대차계약,임대차계약,영업팀,한빛물류,2025-10-02,48500000,N,분실,Y,Y,Y,N,Y,해당없음
L0034,우리텍 공급계약,공급계약,경영지원팀,우리텍,2024-08-21,14800000,Y,법무팀 캐비닛,Y,Y,N,N,N,해당없음
L0035,센트럴시스템즈 공급계약,공급계약,개발팀,센트럴시스템즈,2025-04-02,216700000,Y,지점 보관함,Y,Y,Y,Y,N,해당없음
L0036,다우설비 임대차계약,임대차계약,개발팀,다우설비,2026-02-27,229100000,N,미회수(날인본 회수 전),Y,Y,Y,Y,Y,해당없음
L0037,대한상사 파트너십계약,파트너십계약,경영지원팀,대한상사,2024-04-17,24000000,Y,법무팀 캐비닛,Y,Y,Y,Y,N,Y
L0038,한빛물류 파트너십계약,파트너십계약,개발팀,한빛물류,2025-05-01,235700000,Y,법무팀 캐비닛,Y,Y,N,N,Y,N
L0039,노바파트너스 파트너십계약,파트너십계약,경영지원팀,노바파트너스,2025-03-04,196700000,Y,법무팀 캐비닛,Y,Y,Y,N,N,Y
L0040,한빛물류 비밀유지계약(NDA),비밀유지계약(NDA),경영지원팀,한빛물류,2025-11-04,202500000,Y,법무팀 캐비닛,N,N,Y,Y,N,해당없음
